ItemName02,火箭,,,,,,,,,,,,,,,,,
ItemDes01,提示一个字,,,,,,,,,,,,,,,,,
ItemDes02,一次提供多个提示,,,,,,,,,,,,,,,,,
T1,初出茅庐,,,,,,,,,,,,,,,,,
P1,继续加油,,,,,,,,,,,,,,,,,
LT1,百尺竿头，更进一步！,,,,,,,,,,,,,,,,,
T2,驾轻就熟,,,,,,,,,,,,,,,,,
P2,继续保持！,,,,,,,,,,,,,,,,,
LT2,过关就是实力！,,,,,,,,,,,,,,,,,
T3,心领神会,,,,,,,,,,,,,,,,,
P3,出类拔萃！,,,,,,,,,,,,,,,,,
LT3,你超过了{0}%的玩家！,,,,,,,,,,,,,,,,,
T4,才华横溢,,,,,,,,,,,,,,,,,
P4,卓尔不群！,,,,,,,,,,,,,,,,,
T5,炉火纯青,,,,,,,,,,,,,,,,,
P5,叹为观止！,,,,,,,,,,,,,,,,,
T6,出神入化,,,,,,,,,,,,,,,,,
P6,登峰造极！,,,,,,,,,,,,,,,,,
T7,超凡入圣,,,,,,,,,,,,,,,,,
P7,神乎其技！,,,,,,,,,,,,,,,,,
LT7,你的每一步都是正确的！,,,,,,,,,,,,,,,,,
T8,独具匠心,,,,,,,,,,,,,,,,,
P8,收获满满，不虚此行！,,,,,,,,,,,,,,,,,
LT8,每片叶子都找到了！,,,,,,,,,,,,,,,,,
T9,行云流水,,,,,,,,,,,,,,,,,
P9,才思敏捷，一气呵成！,,,,,,,,,,,,,,,,,
LT9,这一关被你轻松拿下！,,,,,,,,,,,,,,,,,
T10,一代宗师,,,,,,,,,,,,,,,,,
P10,完美通关！,,,,,,,,,,,,,,,,,
LT10,你收集了全部的叶子！,,,,,,,,,,,,,,,,,
T11,新的记录！,,,,,,,,,,,,,,,,,
P11,再接再励！,,,,,,,,,,,,,,,,,
LT11,创造新的历史！,,,,,,,,,,,,,,,,,
T12,处变不惊,,,,,,,,,,,,,,,,,
P12,游刃有余！,,,,,,,,,,,,,,,,,
LT12,你可以面对任何困难！,,,,,,,,,,,,,,,,,
RocketDescription,自动完成一个成语,,,,,,,,,,,,,,,,,
BulbInstructions,提示一个成语中的字符,,,,,,,,,,,,,,,,,
Rocket,火箭,,,,,,,,,,,,,,,,,
Praise1,小试牛刀,,,,,,,,,,,,,,,,,
Praise2,有点厉害！,,,,,,,,,,,,,,,,,
Praise3,难不住你,,,,,,,,,,,,,,,,,
Praise4,初窥门径,,,,,,,,,,,,,,,,,
Praise5,手感到位！,,,,,,,,,,,,,,,,,
Praise6,初战告捷,,,,,,,,,,,,,,,,,
Praise7,出手不凡,,,,,,,,,,,,,,,,,
Praise8,起手见真章,,,,,,,,,,,,,,,,,
Praise9,玉汝于成,,,,,,,,,,,,,,,,,
Praise10,你做到了！,,,,,,,,,,,,,,,,,
Praise11,苦尽甘来,,,,,,,,,,,,,,,,,
Praise12,渐入佳境,,,,,,,,,,,,,,,,,
Praise13,融会贯通,,,,,,,,,,,,,,,,,
Praise14,势如破竹,,,,,,,,,,,,,,,,,
Praise15,一气呵成,,,,,,,,,,,,,,,,,
Praise16,如有神助,,,,,,,,,,,,,,,,,
Praise17,不可思议,,,,,,,,,,,,,,,,,
Praise18,举世无双,,,,,,,,,,,,,,,,,
Praise19,惊世骇俗,,,,,,,,,,,,,,,,,
Praise20,空前绝后,,,,,,,,,,,,,,,,,
Praise21,惊为天人,,,,,,,,,,,,,,,,,
Praise22,天人合一,,,,,,,,,,,,,,,,,
Praise23,火眼金睛,,,,,,,,,,,,,,,,,
Praise24,一个字，绝！,,,,,,,,,,,,,,,,,
Praise25,神操作！,,,,,,,,,,,,,,,,,
Praise26,胜利在望,,,,,,,,,,,,,,,,,
Praise27,守得见云开,,,,,,,,,,,,,,,,,
Praise28,通关在即,,,,,,,,,,,,,,,,,
Praise29,花开自有时,,,,,,,,,,,,,,,,,
Praise30,一鸣惊人,,,,,,,,,,,,,,,,,
Praise31,神开局,,,,,,,,,,,,,,,,,
Praise32,技惊四座,,,,,,,,,,,,,,,,,
Praise33,神仙开局,,,,,,,,,,,,,,,,,
Praise34,状态在线,,,,,,,,,,,,,,,,,
Praise35,得心应手,,,,,,,,,,,,,,,,,
Praise36,轻车熟路,,,,,,,,,,,,,,,,,
Praise37,你确定这不是蒙的？,,,,,,,,,,,,,,,,,
Praise38,神来之笔,,,,,,,,,,,,,,,,,
Praise39,没看提示吧？,,,,,,,,,,,,,,,,,
Praise40,妙手天成,,,,,,,,,,,,,,,,,
Praise41,等等，这也行？,,,,,,,,,,,,,,,,,
Praise42,神仙操作，666,,,,,,,,,,,,,,,,,
Praise43,功到自然成,,,,,,,,,,,,,,,,,
Praise44,没有白答的错,,,,,,,,,,,,,,,,,
Praise45,水到渠成,,,,,,,,,,,,,,,,,
Praise46,你的坚持有回报,,,,,,,,,,,,,,,,,
Praise47,滴水穿石,,,,,,,,,,,,,,,,,
Praise48,终点已在眼前,,,,,,,,,,,,,,,,,
Praise49,静待花开,,,,,,,,,,,,,,,,,
Praise50,成功触手可及,,,,,,,,,,,,,,,,,
Praise51,触类旁通,,,,,,,,,,,,,,,,,
Praise52,慧眼识珠,,,,,,,,,,,,,,,,,
Praise53,举一反三,,,,,,,,,,,,,,,,,
Praise54,笔下生风,,,,,,,,,,,,,,,,,
ScheduleLess,完成第X关,,,,,,,,,,,,,,,,,
OneMore,只差1关,,,,,,,,,,,,,,,,,
TapSkip,点击跳过,,,,,,,,,,,,,,,,,
DoubleHit1,连击达人,,,,,,,,,,,,,,,,,
DoubleHit2,连击大师,,,,,,,,,,,,,,,,,
DoubleHit3,连击大神,,,,,,,,,,,,,,,,,
BreakIce1,破冰达人,,,,,,,,,,,,,,,,,
BreakIce2,破冰大师,,,,,,,,,,,,,,,,,
BreakIce3,破冰大神,,,,,,,,,,,,,,,,,
CollectLeaves1,集叶达人,,,,,,,,,,,,,,,,,
CollectLeaves2,集叶大师,,,,,,,,,,,,,,,,,
CollectLeaves3,集叶大神,,,,,,,,,,,,,,,,,
PickFlowers1,拾花达人,,,,,,,,,,,,,,,,,
PickFlowers2,拾花大师,,,,,,,,,,,,,,,,,
PickFlowers3,拾花大神,,,,,,,,,,,,,,,,,
Perfect1,完美达人,,,,,,,,,,,,,,,,,
Perfect2,完美大师,,,,,,,,,,,,,,,,,
Perfect3,完美大神,,,,,,,,,,,,,,,,,
Ordinary,屈指可数,,,,,,,,,,,,,,,,,
Rare,凤毛麟角,,,,,,,,,,,,,,,,,
Infrequent,吉光片羽,,,,,,,,,,,,,,,,,
DoubleHit,达成连击{0}次,,,,,,,,,,,,,,,,,
BreakIce,消除{0}个冰块,,,,,,,,,,,,,,,,,
CollectLeaves,收集{0}片叶子,,,,,,,,,,,,,,,,,
PickFlowers,消除{0}朵花朵,,,,,,,,,,,,,,,,,
Perfect,完美通关{0}次,,,,,,,,,,,,,,,,,
Aa,大字模式,,,,,,,,,,,,,,,,,
IceBreak,破冰,,,,,,,,,,,,,,,,,
Difficulty,困难,,,,,,,,,,,,,,,,,
Dardest,极难,,,,,,,,,,,,,,,,,
ES001,"此关非易事，能通者皆为高人。
",,,,,,,,,,,,,,,,,
ES002,破此局者，已是百里挑一。,,,,,,,,,,,,,,,,,
ES003,唯最明澈之禅心可破。,,,,,,,,,,,,,,,,,
ES004,此关之难，百思不得其解。,,,,,,,,,,,,,,,,,
ES005,祖冲之锲而不舍，方破此局。,,,,,,,,,,,,,,,,,
ES006,你的悟性，可比六祖慧能？,,,,,,,,,,,,,,,,,
ES007,唯算无遗策者，方可破此局。,,,,,,,,,,,,,,,,,
ES008,破此关者，已是一览众山小。,,,,,,,,,,,,,,,,,
ES009,通此一关，已是凤毛麟角。,,,,,,,,,,,,,,,,,
ES010,此关不易，每破一次，皆是高光。,,,,,,,,,,,,,,,,,
ES011,高手在此也冒汗。,,,,,,,,,,,,,,,,,
ES012,诸葛孔明过此关，亦需三思。,,,,,,,,,,,,,,,,,
ES013,破解此关，跻身智者，百里挑一。,,,,,,,,,,,,,,,,,
ES014,你的智识，是否已达巅峰？,,,,,,,,,,,,,,,,,
ES015,破此关者，已超凡入圣。,,,,,,,,,,,,,,,,,
ES016,唯才高八斗者，方可破此局。,,,,,,,,,,,,,,,,,
ES017,破此关者，已是人中龙凤。,,,,,,,,,,,,,,,,,
ES018,此关之难，需大智慧方解。,,,,,,,,,,,,,,,,,
ES019,成语是古人的智慧，这一关是你的智慧。,,,,,,,,,,,,,,,,,
ES020,"此局,非孔明之智莫属
",,,,,,,,,,,,,,,,,
ES021,通此一关，慧根已属上上之选。,,,,,,,,,,,,,,,,,
ES022,破解此关，你的智商已达 220。,,,,,,,,,,,,,,,,,
ES023,解此一关，词感再进一寸。,,,,,,,,,,,,,,,,,
ES024,成语言志，词里有光。,,,,,,,,,,,,,,,,,
ES025,破此局，慧根已超凡品。,,,,,,,,,,,,,,,,,
ES026,孔子周游，亦叹此关之妙。,,,,,,,,,,,,,,,,,
ES027,你的脑力，是否已达巅峰？,,,,,,,,,,,,,,,,,
ES028,你的词库，比你想象的深。,,,,,,,,,,,,,,,,,
ES029,破解此关，你的思维已入化境。,,,,,,,,,,,,,,,,,
ES030,庄子逍遥，亦为此谜一笑。,,,,,,,,,,,,,,,,,
ES031,"让我们看看你的智商,是否该进禅贤阁。",,,,,,,,,,,,,,,,,
ES032,王阳明以通此关为日课。,,,,,,,,,,,,,,,,,
ES033,通此一关，已得字中三昧。,,,,,,,,,,,,,,,,,
ES034,庞统以解此类谜题为乐。,,,,,,,,,,,,,,,,,
ES035,破解此关，才知汉字之妙。,,,,,,,,,,,,,,,,,
ES036,一词千金，一关一境。,,,,,,,,,,,,,,,,,
ES037,字里乾坤，智者自得。,,,,,,,,,,,,,,,,,
ES038,鬼谷子亦需筹谋此关。,,,,,,,,,,,,,,,,,
ES039,你的智识，可比诸葛孔明？,,,,,,,,,,,,,,,,,
ES040,成语万千，解法各一。,,,,,,,,,,,,,,,,,
ES041,此迷，唯智商 240 的人能解。,,,,,,,,,,,,,,,,,
ES042,张良运筹帷幄，亦需三思。,,,,,,,,,,,,,,,,,
ES043,此关将智者与众人分开。,,,,,,,,,,,,,,,,,
ES044,唯有大智者，方可破此局。,,,,,,,,,,,,,,,,,
ES045,仓颉造字，亦非易事，故能字字珠玑。,,,,,,,,,,,,,,,,,
ES046,一字一世界，一关一菩提。,,,,,,,,,,,,,,,,,
ES047,看图识意，识者自得。,,,,,,,,,,,,,,,,,
ES048,图里的字，是藏起来的成语。,,,,,,,,,,,,,,,,,
ES049,通此一关，已是触类旁通。,,,,,,,,,,,,,,,,,
ES050,仓颉观象造字，亦通此关。,,,,,,,,,,,,,,,,,
ES051,形形色色，智者自得。,,,,,,,,,,,,,,,,,
ES052,看图猜字，看的是图，懂的是字。,,,,,,,,,,,,,,,,,
ES053,破此关者，皆是观形知意。,,,,,,,,,,,,,,,,,
ES054,观形知意，触类旁通。,,,,,,,,,,,,,,,,,
ES055,此关之妙，妙不可言。,,,,,,,,,,,,,,,,,
ES056,形所不能言，意能达之。,,,,,,,,,,,,,,,,,
ES057,形神兼备，方解此谜。,,,,,,,,,,,,,,,,,
ES058,顾恺之以形写神，亦通此关。,,,,,,,,,,,,,,,,,
ES059,形形色色，字在其中。,,,,,,,,,,,,,,,,,
ES060,观形见性，一通百通。,,,,,,,,,,,,,,,,,
ES061,一形一意，关关见智。,,,,,,,,,,,,,,,,,
ES062,形有限，意无穷。,,,,,,,,,,,,,,,,,
ES063,一片一得，集腋成裘。,,,,,,,,,,,,,,,,,
ES064,聚叶成林，积智成峰。,,,,,,,,,,,,,,,,,
ES065,落叶归根，智归此关。,,,,,,,,,,,,,,,,,
ES066,智者集叶，积少成多。,,,,,,,,,,,,,,,,,
ES067,一叶一词，一词一智。,,,,,,,,,,,,,,,,,
ES068,叶藏于词，智藏于叶。,,,,,,,,,,,,,,,,,
ES069,枝繁叶茂，积智成峰。,,,,,,,,,,,,,,,,,
ES070,一叶知秋，一关知智。,,,,,,,,,,,,,,,,,
ES071,落叶归根，智归此关。,,,,,,,,,,,,,,,,,
ES072,花开花落，智在其中。,,,,,,,,,,,,,,,,,
ES073,花不开，字不显；花开一字，智显一分。,,,,,,,,,,,,,,,,,
ES074,花遮字面，智显其中。,,,,,,,,,,,,,,,,,
ES075,心有明镜，何惧繁花。,,,,,,,,,,,,,,,,,
ES076,柳暗花明，又一关。,,,,,,,,,,,,,,,,,
ES077,花开一瓣，智解一关。,,,,,,,,,,,,,,,,,
ES078,镜花水月，智在其中。,,,,,,,,,,,,,,,,,
ES079,以智拂花，花落字现。,,,,,,,,,,,,,,,,,
